donor_id,C(cat0)[1],CT1,CT2,CT3,CT4,CT5
S085,0.0,16,17,26,86,8
S086,0.0,27,49,16,14,13
S087,0.0,14,11,20,13,26
S088,0.0,26,75,58,11,19
S089,0.0,40,11,35,9,39
S090,0.0,21,13,9,23,46
S091,1.0,66,70,17,0,28
S092,0.0,26,30,25,9,20
S093,0.0,7,12,27,0,13
S094,0.0,10,31,9,86,48
S095,1.0,20,158,0,9,8
S096,0.0,4,1,22,8,21
S097,0.0,22,12,2,26,9
S098,0.0,36,31,25,2,30
S099,0.0,42,7,7,34,24
S100,0.0,20,6,17,21,12
S101,0.0,56,15,47,15,44
S102,0.0,63,18,49,4,40
S103,1.0,52,138,0,8,0
S104,0.0,26,4,36,29,10
S105,0.0,41,1,37,76,13
S106,0.0,8,12,17,10,6
S107,0.0,8,55,59,28,41
S108,1.0,36,86,6,2,6
S109,0.0,13,12,31,9,6
S110,0.0,19,63,44,25,25
S111,0.0,35,31,5,32,4
S112,0.0,14,13,6,21,7
S113,1.0,31,90,17,6,24
S114,0.0,21,30,34,16,33
S115,0.0,29,14,4,25,50
S116,0.0,20,5,25,38,31
S117,0.0,17,13,48,7,17
S118,1.0,34,86,5,3,12
S119,1.0,27,96,5,0,4
S120,0.0,23,34,71,8,34
S121,1.0,26,81,4,0,10
S122,0.0,33,40,13,41,25
S123,1.0,18,50,0,10,9
S124,1.0,70,114,2,6,2
S125,0.0,31,54,35,11,57
S126,0.0,37,19,23,11,34
S127,0.0,69,22,7,4,43
S128,0.0,9,7,27,8,40
S129,1.0,24,40,0,0,1
S130,1.0,26,96,0,1,2
S131,0.0,7,24,3,18,3
S132,0.0,18,13,39,12,10
S133,0.0,33,2,52,54,25
S134,1.0,61,119,0,2,4
S135,0.0,34,15,13,10,20
S136,1.0,24,78,0,1,3
S137,0.0,15,27,31,22,19
S138,0.0,3,19,12,32,2
S139,1.0,16,40,6,4,4
S140,0.0,41,7,5,7,4
S141,0.0,43,20,22,63,19
S142,0.0,10,9,21,23,3
S143,1.0,84,88,7,17,3
S144,0.0,3,15,14,9,21
S145,0.0,5,47,22,4,28
S146,0.0,18,28,21,46,23
S147,1.0,25,94,4,8,32
S148,1.0,21,32,0,2,0
S149,1.0,86,66,7,3,8
S150,1.0,30,86,0,40,2
S151,0.0,52,20,55,21,30
S152,0.0,22,2,63,16,13
S153,1.0,30,96,0,18,28
S154,0.0,5,19,20,3,4
S155,1.0,36,42,0,0,0
S156,0.0,31,35,38,21,54
S157,0.0,65,4,34,11,34
S158,0.0,17,31,41,29,6
S159,1.0,32,86,0,8,3
S160,0.0,10,36,31,33,10
S161,0.0,36,37,69,27,15
S162,0.0,27,23,12,12,20
S163,0.0,15,15,28,8,12
S164,0.0,9,10,24,4,3
S165,0.0,58,21,34,3,13
S166,1.0,74,76,0,9,23
S167,0.0,13,16,14,17,31
S168,0.0,8,40,28,24,10
S169,0.0,14,25,44,56,30
S170,1.0,44,64,1,11,24
S171,1.0,68,101,0,9,3
S172,0.0,42,50,23,31,48
S173,1.0,72,107,0,6,14
S174,1.0,33,89,0,5,0
S175,0.0,16,13,15,23,42
S176,1.0,49,102,1,27,4
S177,0.0,43,43,13,28,22
S178,1.0,14,87,6,0,7
S179,0.0,33,14,23,25,22
S180,1.0,30,70,0,0,8
S181,0.0,15,37,3,12,1
S182,1.0,17,108,5,2,0
S183,0.0,17,58,9,35,23
S184,0.0,23,17,21,9,20
S185,1.0,78,69,1,0,0
S186,1.0,29,77,2,0,4
S187,0.0,12,4,10,9,15
S188,1.0,21,62,0,0,1
S189,1.0,36,60,0,2,1
S190,0.0,29,75,42,22,27
S191,0.0,58,4,8,9,17
S192,0.0,15,18,23,18,15
S193,1.0,26,21,0,2,2
S194,0.0,21,21,74,36,35
S195,0.0,40,43,46,19,35
S196,0.0,19,89,24,10,12
S197,1.0,23,153,1,1,6
S198,0.0,4,6,10,9,22
S199,0.0,14,30,27,56,30
S200,1.0,30,71,0,7,6
