donor_id,x_cont1,x_cont2,x_cont3,x_cont4,x_cont5,x_cont6,x_cont7,x_cont8,x_cont9,x_cont10,x_cont11,x_cont12,x_cont13,x_cont14,x_cont15,x_cont16,x_cont17,x_cont18,x_cont19,x_cont20,x_cont21,x_cont22,x_cont23,x_cont24,x_cont25,x_cont26,x_cont27,x_cont28,x_cont29,x_cont30,x_cont31,x_cont32,x_cont33,x_cont34,x_cont35,x_cont36,x_cont37,x_cont38,x_cont39,x_cont40,x_cont41,x_cont42,x_cont43,x_cont44,x_cont45,x_cont46,x_cont47,x_cont48,x_cont49,x_cont50,x_cont51,x_cont52,x_cont53,x_cont54,x_cont55,x_cont56,x_cont57,x_cont58,x_cont59,x_cont60,x_cont61,x_cont62,x_cont63,x_cont64,x_cont65,x_cont66,x_cont67,x_cont68,x_cont69,x_cont70,x_cont71,x_cont72,x_cont73,x_cont74,x_cont75,x_cont76,x_cont77,x_cont78,x_cont79,x_cont80,x_cont81,x_cont82,x_cont83,x_cont84,x_cont85,x_cont86,x_cont87,x_cont88,x_cont89,x_cont90,x_cont91,C(cat0)[1],C(cat0)[2],C(cat0)[3],C(cat1)[T.2],C(cat1)[T.3],C(cat2)[T.2],C(cat2)[T.3],x_bin1,x_bin2,CT1,CT2,CT3,CT4,CT5
S011,0.50098383,1.0624412,0.20304109,-0.90655243,-1.44822,-1.6695251,-1.7686486,1.0705198,0.40190008,-0.34547046,-1.7935227,0.2473584,-1.4972494,1.4389938,2.3791,-1.4263533,-1.4849715,0.42141944,1.1187668,-1.5017434,0.4838674,2.6809628,-0.55749667,1.1293254,-0.93886054,-0.3664281,-1.5917933,-0.65821356,1.1670898,-0.25166345,0.1515513,-0.09674381,0.30069223,0.71343833,0.97066903,-0.15011795,0.06275918,2.1668947,0.08337416,0.48843822,-0.5702267,0.06173196,-0.26363266,-0.64643615,-1.711698,0.47942623,1.5072412,1.1104441,0.4085706,1.1400716,0.25986403,-0.5259858,-0.83566886,0.42988557,-0.97299623,-0.9931356,-1.7241615,-1.4037162,1.5679822,-0.37071288,-1.999872,1.0323193,-0.20666963,-0.02356646,2.1229384,0.47668344,-2.070175,0.058228776,0.12690665,-1.4957209,0.083391674,0.7476583,0.55985546,1.9859835,0.7061821,0.15930155,0.5625674,0.85050935,0.09322432,-0.054672286,0.80324405,-1.1879934,0.19241753,0.16701257,-1.1059855,-0.4381367,0.5353909,0.7645164,2.2883668,-0.11142205,0.22883973,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9,5,0,78,8
S012,-0.29313368,-1.0564407,-0.39481175,-0.053494602,-0.258653,-1.0025054,-0.5715589,0.68299854,1.7058386,0.8548107,1.0499518,1.3071635,1.4468496,0.02192217,1.0757632,1.4135678,-0.96929157,0.4427156,-0.92579645,0.06669008,0.23191562,1.2827265,-0.43831488,0.8790794,0.08454452,-0.92487997,-2.2161818,2.1013622,-0.41748798,-0.61657774,0.6185364,-0.5121753,-1.1459672,-0.49167538,-0.796661,1.1440287,0.9169657,-0.56633866,1.622704,0.19795853,-2.7224011,0.28290337,0.1981321,-1.2536404,0.86009526,-0.5673763,0.561731,0.7903174,-0.6696326,0.18966053,1.0606159,0.7982527,-0.42174858,-0.5909435,0.7501245,0.45757926,-0.45531872,0.21467261,0.48919415,0.22309098,-1.3286693,1.246722,3.0940967,-0.35524046,-1.4704752,-0.2030265,-0.2872387,0.7199663,0.71602756,-0.1380279,1.1632184,1.0424349,0.94624823,0.052719474,0.94914836,0.5656431,1.7196479,0.9628467,-0.023155225,-0.12682663,0.631466,0.65976274,0.14300655,0.6822395,-2.3279076,-1.1251895,-0.4087293,1.1081145,0.09074348,-0.85639125,-0.1428742,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,43,26,79,0,19
S013,-1.4044491,-0.461248,0.12931722,-0.76558137,-0.071992055,-0.22538625,0.5908687,1.6315871,0.97591364,-1.9223404,-0.7808849,-1.1591067,-1.068768,-1.446544,-0.8786484,-0.11609034,-0.42565918,-0.5444288,0.13259272,0.71067214,0.5691122,-0.10210498,0.11377336,1.7229596,1.0075543,-0.17772056,-1.1389314,0.43223748,0.45273322,0.5922232,0.2304548,0.21111172,0.046653192,-0.82736236,1.2547911,0.18075971,-0.36054012,-0.23386657,-0.39008558,-2.196866,-0.3843463,-0.1401806,2.418541,0.026771674,-1.2714975,0.06937274,-0.24221191,-0.13837503,-1.3470473,0.22629808,0.0975248,0.99575186,1.7873589,-0.4591293,-0.62341315,-1.5882456,0.3531242,0.68383265,-1.1155033,0.9814571,1.989115,-0.44639066,1.2651588,1.5852295,0.42002708,0.17308997,1.2107174,0.15520212,0.4893013,1.1715442,0.9082577,0.66970885,-0.7314146,0.08087782,1.293217,0.05145786,0.13692349,-0.89894515,-0.042558234,-0.035605036,0.7269169,-0.010156168,0.33163926,0.5595498,-0.63302475,1.0769051,0.09340048,-2.061685,-1.4258981,-0.7783555,-2.0213108,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0,0,77,1,8
S014,1.8547862,0.858578,2.291617,-0.8895638,-0.386274,0.12212674,-0.5561553,-1.8487649,0.8444126,0.74117464,0.23410809,0.34750277,0.1671878,1.1418347,-0.6672204,1.5397371,-0.54124105,-0.49031925,0.018966394,-0.53865725,0.12272159,0.19887416,0.38718265,-0.1461059,0.4604807,-0.01307477,0.21604969,0.45951706,-0.43446252,0.79367334,0.7352905,0.35469905,-0.40105355,-0.22831057,0.71376306,0.02312565,1.5206585,0.5417234,0.9893046,1.4696383,-0.9539988,0.7787916,0.56533265,-0.47783157,0.08561598,0.79236996,-0.8023055,-0.61282,-1.2359508,3.2076116,-1.0219486,-0.42324936,-0.28764012,0.24594316,-0.37028182,-0.54244214,0.57917315,0.1721244,1.1475033,0.5886892,-0.9133335,-0.084203534,-0.27762526,0.89483947,0.7997429,0.7831235,0.067709774,-1.1937804,-1.0465051,0.41481534,-1.284014,-0.018095037,-0.7147194,-0.2609385,1.3656061,0.7111104,-1.761295,0.14915083,-0.10400227,1.4851915,-0.47459203,1.4993838,-2.5607963,-0.025162451,0.21153373,-1.1474903,-1.1915989,0.26322678,-1.0568937,-2.231219,1.493114,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,64,2,0,0,0
S015,-0.73888725,-0.5248018,1.284021,-0.032594915,-1.2002659,1.4223523,-0.80644757,-1.5748304,0.72641325,0.42816246,2.1010199,-0.37904507,1.0737164,-0.47601312,-0.33401233,0.2731523,-0.16985814,0.03343551,-0.24577962,1.6138219,0.87729937,-0.44506568,-1.4027779,-0.5434447,-0.20446089,1.2762132,0.28272742,1.2023448,-0.012162534,0.14091614,-0.9408332,-1.2029486,0.621098,-1.278138,0.17890643,-1.5564328,-1.4415089,-0.50085276,0.6289055,0.9133434,-0.1794268,-0.2504424,0.8397619,1.3256369,0.89910203,1.3899109,0.5842144,-0.18878973,0.24466105,-1.0848945,0.18964736,-0.5901462,0.06779099,1.3852737,0.7810457,0.73928297,-2.19723,-0.49984932,1.1834834,-0.032646287,-0.49735326,2.186216,0.9365637,0.36251003,1.2033141,-0.18269078,0.7878693,0.23599891,-1.8727521,0.06657961,0.5427384,1.6641251,-0.21215644,0.2107076,0.3274253,-0.80752957,-0.2886591,0.72794074,-1.1199311,2.5474997,-0.70001453,-0.8204532,-1.4944259,-0.24884622,-0.06787169,-1.2081019,-0.4733075,1.5659386,0.751415,-0.24461167,1.0521532,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,74,1,18,1,5
S016,-0.36394688,-0.6677212,0.12387069,-0.16331954,-1.8753337,-0.93521756,-1.8623077,-1.3000988,0.18328747,0.8573307,-1.7506038,-0.17278019,-0.90769625,0.9909536,1.994217,-0.16782893,0.72385675,1.0014628,0.40559292,0.5119321,-0.63443136,-0.11077719,0.6533919,1.0529581,-0.38174495,-0.6264139,-0.6519611,-1.5567557,1.1480495,1.5297327,1.0760742,-0.8912842,0.45824698,-0.48084432,-0.97893876,-0.33528122,-2.1680293,-1.7394843,0.14306813,0.26051706,0.9604902,-1.2291791,-0.43005592,1.7524533,-0.2183383,1.28238,-1.9802101,2.061178,-1.2732577,-0.5101442,-0.08121965,1.3811529,0.080810115,0.39606887,0.716243,-0.2070279,0.33690232,0.3187361,1.3764294,-0.21115914,-2.3904505,1.0895056,-0.78985566,-0.57826537,-0.5006379,-1.0535978,0.94694155,0.1795608,-0.5086825,-1.8190843,0.5919179,1.8002657,0.035350896,-2.0069692,0.9816541,0.90545297,-0.20867965,1.1856709,-1.2081469,0.64920944,0.58238834,-0.8614126,-0.08441356,0.9618433,0.6068845,-0.96996474,-0.062486924,0.045205045,0.3435049,-3.112883,-0.19760159,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,17,9,9,12,12
S017,1.7210907,0.24941616,0.02599316,-0.67751837,1.560342,0.6644733,1.8861513,1.3201667,-0.5598296,-0.82095665,-0.069082834,0.8302385,-1.2581187,-0.807043,0.7646098,0.76273024,-1.3172352,0.6808615,0.5606623,-0.044021294,0.052306365,0.3334822,-2.0414567,0.56185323,0.76925313,0.6505268,-1.3283429,-1.8412187,-0.91985846,-0.2894234,0.4566749,-0.79742354,-0.5333003,0.8735332,0.7314785,-0.39934173,0.506767,0.97983634,-1.2505485,2.322974,-0.41508374,0.03853437,-0.92613477,2.0736825,0.756,2.2691357,0.399496,1.0632379,0.08205679,0.9557737,0.44966742,1.1597621,0.4930557,0.38813323,0.5288491,-1.3592483,0.4252685,-0.23110612,-0.0782024,-0.04297331,-0.6155623,0.24202952,-0.087115936,-0.30546153,0.13999628,-0.25013357,-2.1271458,-2.9751468,0.45308778,-1.4640512,-0.7323937,1.1630687,-0.83126366,-0.15707521,0.5673976,0.21011226,0.0019317642,0.28124705,-0.41999227,-1.731296,-0.88284314,0.07581621,0.36982587,0.6870998,0.06449601,0.14427212,0.65619373,0.72001606,-0.56751895,-0.42525303,-0.22259726,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,45,102,0,0,0
S018,1.9213718,2.114293,-0.5179514,-0.651136,1.1275953,-0.022460891,1.1267213,-0.9700733,-0.28149188,-0.9422968,-0.33992916,-0.23141316,0.01683947,-0.748374,0.9384191,0.5856128,0.5077967,-0.059732515,0.37890673,0.4761456,-0.42258614,0.9900156,0.13359335,0.059074022,0.072547466,-1.3788271,-0.70762867,-1.0369306,0.27918535,-0.7067697,0.16117135,1.2848448,-0.29521617,1.0665686,-0.5649152,-0.17906266,0.7022235,-0.579732,-0.19493672,-0.17757218,0.2570303,1.6745257,1.5040001,0.1993665,-1.1924313,-0.84412575,-3.123031,-1.52434,-1.0237783,-0.15543695,1.0794797,0.993984,0.07657394,-0.42080554,0.33497027,1.0761179,-0.36532182,-1.3474922,0.5029594,1.2944905,0.89014083,0.8344204,-0.916279,1.1802684,-0.09106178,-0.11645802,-0.1443317,-0.54322517,0.67889655,-1.4225485,-0.39989284,-0.40334946,-0.3476661,0.6830068,0.014582771,1.6267679,0.88293624,-0.49607491,0.13107733,-0.3218541,-1.7466422,-0.40141326,1.0412401,-0.99404866,-0.5161499,1.5654637,-0.8950578,1.22296,-0.79098034,-2.5767298,-1.4932684,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,82,0,63,0
S019,-0.68453133,0.6897566,-0.47889486,0.21308395,0.37944454,0.9353038,0.23245615,-1.8603375,0.34159398,-1.0987493,-0.12581176,0.7077058,-1.5450065,-0.45571923,1.3870622,-0.937722,0.19627075,0.31723458,0.11341908,-2.0788586,-0.3098467,0.5862365,-0.19209372,0.4220158,0.58227605,1.0159601,-0.0012542895,-0.6937375,0.5979847,0.421971,-1.0676241,0.44631928,-0.8731512,0.38016656,1.257846,-1.3265444,-1.2776908,-0.10160174,-0.6527527,-0.7103062,-0.7724183,0.13166027,0.23662339,-0.31764132,-0.7059446,-0.98081785,1.3148942,1.2830943,-0.2878502,-1.6742321,-0.33191064,-0.2935243,0.5968793,2.2008588,0.25908214,-0.6751322,0.36453676,-0.040047165,0.9178067,-1.4667485,0.10744062,1.9359841,-1.9131944,-1.9016734,0.8649504,-0.07745817,-0.20174356,-0.08463483,-0.38655624,-0.70462114,0.4772156,-1.2040824,1.118719,0.24865316,0.75382787,0.20353375,0.7910622,-0.11737391,-0.48603523,-0.8810437,1.1294199,1.2339582,0.28714377,-0.96461886,-0.25817832,3.1006083,-0.60681593,0.2551908,-0.050001934,0.6631597,1.122652,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,37,67,24
S020,1.5149206,0.54830194,0.45065925,-0.9036005,1.8379828,-0.7603747,1.9626782,-1.3303062,-0.0062457356,0.3109565,-0.50715953,-0.26921767,2.4356072,-0.6061466,1.7978787,0.17803864,1.5820385,1.2871814,0.09891769,-0.7797127,-0.39447638,-0.32230592,-0.28365785,1.6563239,-0.8067333,1.0499849,0.62772274,0.31320885,1.4754077,0.051361043,0.96402866,-0.18595438,0.7485028,0.011872571,1.9460694,-0.71640235,1.9010919,0.54690236,1.065018,1.1451102,0.7164713,-1.5056411,0.041461803,0.64907694,0.86797804,-0.5790054,0.21752907,-0.29392016,1.1680858,0.6623163,1.3045628,0.7285626,-0.57632595,1.6932839,-0.36405608,0.47756788,-0.4200236,-0.4169579,1.8755774,-0.85498977,0.5356935,0.5472505,-0.44646582,0.079364054,-0.44997954,1.617225,-0.7591425,1.2910105,1.1638346,0.25573668,0.77130467,-1.0092152,0.6804491,-0.8437474,-0.6487128,2.1257112,0.15889442,-0.8595925,0.42592138,-0.95623535,0.038691796,-0.46368158,-0.025320355,-0.92552245,-0.11103644,-0.9122087,1.4687521,0.3864903,1.1408981,-1.2929733,-0.19935392,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,18,56,0,1,4
