donor_id,x_cont1,x_cont2,x_cont3,x_cont4,x_cont5,x_cont6,x_cont7,x_cont8,x_cont9,x_cont10,C(cat0)[1],C(cat0)[2],C(cat0)[3],C(cat1)[T.2],C(cat1)[T.3],C(cat2)[T.2],C(cat2)[T.3],x_bin1,x_bin2,CT1,CT2,CT3,CT4,CT5
S011,-0.55334395,-0.7303192,-0.34984493,0.5890883,-0.4902829,0.99660504,-1.3514439,1.5821325,-0.922283,-0.26776496,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,92,8
S012,3.1179976,0.27890092,0.46484998,0.20632675,-1.3853343,-1.5879099,0.32870257,0.27359188,-1.1471924,1.2765543,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,33,134,0,0,0
S013,1.4057766,0.38227043,-1.49287,-1.443453,-1.7638882,0.33737603,-0.8756429,-1.9828827,0.3548929,0.4230418,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,7,34,0,45,0
S014,-1.2718669,1.1860285,0.6159182,-0.7621072,-0.7915563,-0.29434365,1.6527822,-0.18542212,0.70741963,1.8702419,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0,0,37,28,1
S015,0.61307573,-0.087990336,-1.093804,1.2219284,0.6058365,-0.72478676,0.21246353,-0.41843387,0.73601216,1.2322092,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10,31,2,41,15
S016,0.015115274,0.19510777,-0.38496074,-0.3548851,1.5163145,1.2619144,0.072192885,0.18872833,0.28226355,-0.16160186,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1,0,1,50,7
S017,-1.2403686,0.56094843,-1.6696821,-0.1629555,1.1181297,-0.16681595,0.6043264,-0.9072806,0.086772226,-0.19644924,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0,0,70,74,3
S018,0.8138312,0.08040831,-0.5876,1.139931,-0.3810975,1.0830473,0.072592154,0.8391527,-0.5389996,-1.4964238,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,37,67,0,41,0
S019,0.55639964,-1.4045963,0.18097834,-1.5009785,-0.7864651,-0.6714106,-1.1446699,0.4082013,-0.9844988,-0.796327,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,16,88,0,25,0
S020,1.1198293,-1.3458581,-0.94733346,-1.0209639,0.0462832,1.2065225,-1.0881797,2.6030872,-0.1465458,0.09385855,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0,14,0,65,0
S021,-0.29238513,-0.5360593,0.3864634,-0.1276369,2.0343015,-0.6334384,-0.8138742,-2.0401638,-0.43372703,0.004730515,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0,19,3,130,0
S022,0.26220936,0.34110662,-1.4088837,0.1604034,-0.40761608,-2.028491,-1.1925817,-0.034942638,-1.1712877,-1.229338,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0,0,0,51,1
S023,-0.15579255,0.67357785,1.819851,-0.75123554,-0.936885,2.0683506,0.27995458,2.5944808,0.8819004,-1.0257554,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0,0,12,166,1
S024,0.46924257,1.7892131,-1.5625353,1.6624701,-0.97851884,-2.7488093,-2.095285,1.4227022,-1.4071904,-0.26087102,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0,4,16,33,5
S025,1.4959042,-1.2370065,-0.23070389,0.034665447,-1.1753132,0.61044765,0.017017324,-0.85878557,-0.37180138,0.09693463,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5,162,0,19,1
S026,-0.873971,1.7849919,-0.2689088,-0.59559417,-0.061995063,-0.29712936,1.4873027,-1.327974,0.50542974,-0.97380716,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0,0,53,108,3
S027,-0.41747788,0.46299997,0.5199014,0.017027756,-2.3014922,-0.4990272,-1.5277858,-1.6142973,0.5615719,1.7751864,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,1,4,53,8
S028,1.6932647,2.512943,0.9754486,0.10595691,0.98418593,1.3626928,-0.744132,-1.5920743,0.71932733,1.2340564,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,30,16,7,2,15
S029,-0.031504598,-1.0632969,-0.3166534,0.21312702,-0.86317796,-1.648657,-0.16242845,0.118229,0.9206871,1.3687407,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,39,36,9,58,10
S030,-2.3305628,0.52817607,0.22897717,-0.62268734,0.318874,2.8790445,-0.16065922,-0.9241185,-1.3656904,0.14783129,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0,0,10,57,0
S031,-0.020697178,1.0015073,-0.36024883,-1.5883142,-1.5750515,-2.365837,-1.0400753,-0.5350365,0.3623047,-1.1080416,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,17,0,37,70,36
S032,-0.024738085,-1.4124396,-1.0148166,0.7229113,-0.13275486,0.94021124,2.325162,-0.8639263,0.05036767,0.109253496,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0,19,0,81,0
S033,-0.8444336,-0.7473713,-0.2818014,-0.22703475,-1.2499162,-1.4439038,-1.6137761,0.6500076,-0.99353254,-0.05471876,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,13,56,4
S034,1.1709228,-0.91776484,1.2272342,-0.7610796,-1.1453441,0.11979513,0.039405774,-0.73698443,-1.6884269,-0.4303904,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,115,0,36,11
S035,-0.12816352,1.467716,0.8440515,-0.70043766,-1.2735468,-0.19575444,-0.325487,1.0652502,2.8473084,-0.5720293,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1,0,10,123,23
S036,0.29782227,1.1004694,0.14520018,-0.23528731,-1.0504539,2.0171,0.18423189,-0.47984445,-2.0449882,0.22509483,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,5,0,1,69,10
S037,-0.09594181,-1.1098446,-0.9182921,0.02492827,-0.11367972,1.2345507,0.5302716,0.1011641,0.25265747,-0.9770216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2,24,3,136,3
S038,0.48407695,-1.0919255,0.25061026,-1.2235652,0.35756436,0.12899396,1.3026814,0.92437345,-1.1585498,-1.1696267,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0,0,1,51,2
S039,-1.0901875,-0.28940865,0.7059862,-1.2391616,0.39803717,-0.179279,-0.63114446,-0.16945463,-0.8956435,0.09195797,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,0,1,96,2
S040,1.2626092,1.3253092,-0.1875474,-0.99714744,0.5253172,-0.65357584,0.0057396824,-0.14362937,1.6774364,-0.88310534,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,50,10,12,81,46
S041,0.012923486,-0.31623033,1.8227167,-0.003164618,-0.87113416,-0.5773507,-0.9647543,-1.1772546,-0.60614157,-0.58897746,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0,0,0,79,0
S042,0.85416335,1.1897963,-1.5596474,-0.72185105,0.028617613,-1.4259704,1.3933456,-0.52346253,0.4231337,-0.21199548,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4,2,0,134,2
S043,0.20223443,-1.1926134,0.73106027,-0.19048916,-0.29974347,-0.30259663,-1.1755345,-0.42507988,-0.26292935,-1.2414755,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2,0,0,140,0
S044,-0.24950501,-1.5217268,-0.53777087,-2.1699538,-0.67188185,0.46801284,-0.12251673,1.4394767,-2.1235275,1.9982635,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,20,0,4,36,1
S045,0.6735967,0.12813616,-0.25354406,0.041425522,-0.8410017,1.7185228,-0.6065864,0.5152801,1.1535991,0.56807894,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,65,48,0,55,17
S046,0.5510348,-0.82769555,-1.2581401,-0.71912235,0.61784387,1.4843754,-0.6691678,1.1288322,-0.2321473,-0.32480454,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0,6,0,93,0
S047,-2.2262936,0.14490485,0.4387444,0.27574655,0.38232744,-1.7273906,0.2520714,-0.3679933,0.97205347,0.7105682,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,28,104,8
S048,1.3253831,-0.85352105,0.3718142,0.68036175,-1.2369903,0.21780641,1.1226087,-0.6587909,-1.4665989,-1.3967161,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,39,96,0,11,1
S049,-1.4153407,-1.1590519,-0.95870185,-1.6618788,-1.5082164,-0.05853628,2.0483618,1.5485377,0.5153474,-0.9250275,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0,0,0,75,0
S050,-0.8817564,0.5284343,-0.89605206,2.4108906,1.8810226,-1.2464938,0.8990087,1.0347519,-1.1236032,1.120458,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0,0,1,136,2
S051,0.40866375,0.9512186,2.8947551,-0.38714135,0.538938,-0.08501794,0.6453533,-0.39775914,0.3686187,1.245727,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3,0,0,140,1
S052,0.15457077,0.8158888,1.1781547,-1.0898786,0.98570585,-0.093408264,-0.6579418,-0.47554392,0.12444164,1.9132656,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,4,11,88,5
S053,0.024323927,-0.44484088,-1.2571449,-0.4112427,1.6336224,-1.8597546,-0.4070364,0.09531983,-1.1773584,0.401663,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1,4,1,67,4
S054,-0.9575422,-0.9943764,-1.3955386,-0.1107654,-1.3419055,1.6852694,0.5506082,0.7196853,-0.92936724,-1.186754,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0,0,0,104,1
S055,0.16134915,1.9955046,0.26908982,-0.25810862,-0.6352554,0.5530634,1.3711629,-1.0571628,-0.025088103,-1.524841,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0,0,13,101,4
S056,0.4434614,-0.39181882,-0.4468744,1.1026394,-1.0275607,0.2017905,-0.727934,1.7272393,0.6239493,-0.8585774,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3,23,18,32,0
S057,0.99580854,0.04044339,-2.5478349,1.5423648,-0.4478659,0.4581103,-0.37710473,0.31082428,-1.5777445,0.47642627,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0,15,1,142,5
S058,0.50710076,0.6452853,-0.5662239,1.3902617,-0.21747339,-0.019483378,-0.5381563,1.4278617,-1.7079123,-1.0724137,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,32,6,4,8,15
S059,-0.83471376,1.2032472,-2.4629734,0.029510349,-1.4320213,0.70088595,1.027033,0.33539534,0.36933243,-1.0459665,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1,0,56,82,10
S060,-0.1481329,1.5722136,-1.1349554,0.7608044,0.5904243,-0.0302373,-0.26416537,1.1350366,-0.64579064,1.2318041,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0,0,13,88,0
S061,1.3080837,-1.7463664,-0.49467444,-2.1264522,0.013740516,-1.0844791,-1.42314,-0.76345646,-1.1040462,0.115916334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5,146,0,18,0
S062,-0.31040454,0.27618092,0.24645373,0.14026585,-0.21439685,1.8743206,0.5049669,-0.45336777,-1.3921812,1.4181006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,6,81,0
S063,-0.08664941,-1.3182831,0.84867454,-0.13684115,0.12959719,-0.7247936,-0.9214608,1.5986699,1.5100598,-1.1911901,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0,2,0,92,0
S064,0.4573012,1.0899613,0.558942,-0.7465912,-0.7423312,0.15236263,0.11791468,-0.9380762,1.4046631,0.2926338,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6,2,21,53,8
S065,0.21295993,1.5161994,-1.9278609,1.6482993,-1.4907613,0.1334358,-0.7659918,0.92541355,0.21636872,-0.51012254,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0,1,2,78,1
S066,-1.3577715,-1.3380394,-0.58360547,-0.76387584,0.45818117,-0.035630926,-0.34662563,-1.0597645,-3.358525,0.110130906,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0,0,4,178,0
S067,0.8452932,-0.11676221,-0.426889,-0.9304015,1.0396752,0.36717835,-1.4994447,0.15667331,0.83095646,1.0784233,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0,1,0,165,0
S068,1.7673509,0.7086859,0.7600694,0.1311276,-1.2191806,0.18560891,0.92119944,-0.14797308,-1.5829022,-1.2391975,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,44,88,0,29,2
S069,-0.34741142,2.5913334,-0.5444737,-0.29698026,-0.6401622,-1.0205863,-0.88756156,2.7901142,1.7429718,1.1726593,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0,0,21,151,27
S070,-1.475487,0.5252378,1.1853498,-1.0904408,-0.030776687,-0.862881,-1.5410163,-0.1473328,0.38345245,0.08618769,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0,0,33,112,1
S071,0.56853336,0.7085675,0.97750443,-0.23520179,2.6738398,0.45648226,0.4481683,0.019299315,0.70468056,-1.365078,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0,0,0,159,0
S072,-0.21555676,0.52405465,-0.55288035,2.4768736,1.2672219,-1.9729041,0.7241686,0.8296237,-0.14848381,-1.2079406,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11,2,23,31,2
S073,1.7586255,0.13019943,-1.1672515,0.6290168,-0.24523604,0.88871866,0.80546933,-0.28589255,2.330328,-0.8895493,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,123,0,7,8
S074,-0.21101382,-0.3855552,-1.4374695,1.2690437,0.15724461,-2.1412425,1.0057375,1.5765537,-0.34669876,-1.3220643,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0,9,5,83,20
S075,0.27325442,1.2242457,-0.1663179,0.7436774,-0.07979209,-0.19712931,-0.17118491,-1.6129227,0.28436133,1.1155351,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,10,9,5,32,7
S076,0.3388615,-0.7935867,-0.7772742,-1.0228511,0.5758457,-0.1262458,-0.71411896,0.31853563,0.5236964,0.058755122,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,11,0,53,12
S077,0.4323131,0.16333683,-0.8937479,-0.577829,0.07032711,-1.691399,-1.1176883,-1.145715,0.24823003,0.5920055,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,17,13,4,28,3
S078,-0.64236134,-0.1481041,1.2633127,-1.3733174,2.3476768,0.06987648,-0.5520689,1.452777,1.622049,0.7738743,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0,0,9,187,0
S079,1.4674981,0.23502986,1.012628,0.51458794,0.37673616,-1.0464482,-0.6977434,0.8716463,1.13974,-1.2899776,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,35,73,0,1,2
S080,-2.226181,-0.168811,-0.61093134,-0.484196,-0.1865231,0.21032208,0.12819728,0.079009145,-0.32034892,-0.4401233,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0,0,0,91,0
S081,0.33045086,-0.5849272,-1.4724784,1.4125203,0.3684239,-0.5110086,1.1533566,1.7452815,0.91830915,0.7767427,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,27,15,0,86,25
S082,0.32218817,0.98794204,-0.54609174,0.6884898,-1.3956947,0.37895638,-1.232018,1.401555,0.4182275,-0.097045906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8,12,30,68,43
S083,-0.5410711,-0.5803188,-0.937282,1.4814206,-0.29390168,0.23996477,-0.5336546,1.4990326,-0.92735136,-1.3371513,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,6,1,1,60,0
S084,-0.49736497,1.4254395,-0.30501428,-1.9003156,-0.40898046,-0.73502094,0.016948037,0.9015526,0.6792682,0.5183052,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,0,57,10,5
S085,-0.7113103,-0.638082,-0.3779861,-0.90695083,-0.5581867,-0.82025576,0.21351463,0.38846827,0.1811606,0.43465248,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0,0,0,153,0
S086,0.5229832,-1.8660405,2.147776,0.27831352,-0.036115002,0.3321906,-0.4179986,-0.15097442,1.2620572,-0.19224088,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0,7,0,112,0
S087,0.40439233,0.4952302,0.49103332,1.9542897,0.48764533,2.0278351,-1.6837778,-0.030142805,0.46688288,-0.15702985,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0,0,0,84,0
S088,0.8665712,1.0892098,-0.8285301,0.11257166,1.1370088,-2.558959,-0.29407716,-0.2818848,0.85403085,-1.5378476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,13,23,75,72
S089,-1.1547625,0.81684643,-1.3319881,0.2869624,-0.3047927,-0.25673518,-1.3266692,1.215408,0.8066161,-0.24626008,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,47,72,15
S090,0.747444,-0.6815965,0.33944735,-2.5846987,1.470365,0.341908,0.17168194,-1.0029037,-0.039219502,-0.26645184,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0,1,0,110,1
S091,-0.8623513,-1.3928366,0.5427954,-0.10890943,0.31593645,1.0972372,1.9219812,0.7564031,-0.7804009,-0.07647637,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0,0,13,158,10
S092,0.50098383,1.0624412,0.20304109,-0.90655243,-1.44822,-1.6695251,-1.7686486,1.0705198,0.40190008,-0.34547046,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,18,9,4,75,4
S093,-1.7935227,0.2473584,-1.4972494,1.4389938,2.3791,-1.4263533,-1.4849715,0.42141944,1.1187668,-1.5017434,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0,0,24,34,1
S094,0.4838674,2.6809628,-0.55749667,1.1293254,-0.93886054,-0.3664281,-1.5917933,-0.65821356,1.1670898,-0.25166345,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,6,0,106,21,51
S095,0.1515513,-0.09674381,0.30069223,0.71343833,0.97066903,-0.15011795,0.06275918,2.1668947,0.08337416,0.48843822,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,17,1,3,148,26
S096,-0.5702267,0.06173196,-0.26363266,-0.64643615,-1.711698,0.47942623,1.5072412,1.1104441,0.4085706,1.1400716,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0,0,0,56,0
S097,0.25986403,-0.5259858,-0.83566886,0.42988557,-0.97299623,-0.9931356,-1.7241615,-1.4037162,1.5679822,-0.37071288,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0,0,0,71,0
S098,-1.999872,1.0323193,-0.20666963,-0.02356646,2.1229384,0.47668344,-2.070175,0.058228776,0.12690665,-1.4957209,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0,0,21,95,8
S099,0.083391674,0.7476583,0.55985546,1.9859835,0.7061821,0.15930155,0.5625674,0.85050935,0.09322432,-0.054672286,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5,0,0,101,8
S100,0.80324405,-1.1879934,0.19241753,0.16701257,-1.1059855,-0.4381367,0.5353909,0.7645164,2.2883668,-0.11142205,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,55,0,8,11
S101,0.22883973,-0.29313368,-1.0564407,-0.39481175,-0.053494602,-0.258653,-1.0025054,-0.5715589,0.68299854,1.7058386,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0,0,0,177,0
S102,0.8548107,1.0499518,1.3071635,1.4468496,0.02192217,1.0757632,1.4135678,-0.96929157,0.4427156,-0.92579645,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,30,2,21,121,0
S103,0.06669008,0.23191562,1.2827265,-0.43831488,0.8790794,0.08454452,-0.92487997,-2.2161818,2.1013622,-0.41748798,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0,7,0,191,0
S104,-0.61657774,0.6185364,-0.5121753,-1.1459672,-0.49167538,-0.796661,1.1440287,0.9169657,-0.56633866,1.622704,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,28,75,2
S105,0.19795853,-2.7224011,0.28290337,0.1981321,-1.2536404,0.86009526,-0.5673763,0.561731,0.7903174,-0.6696326,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0,14,0,146,8
S106,0.18966053,1.0606159,0.7982527,-0.42174858,-0.5909435,0.7501245,0.45757926,-0.45531872,0.21467261,0.48919415,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,24,4,5,12,8
S107,0.22309098,-1.3286693,1.246722,3.0940967,-0.35524046,-1.4704752,-0.2030265,-0.2872387,0.7199663,0.71602756,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0,11,0,180,0
S108,-0.1380279,1.1632184,1.0424349,0.94624823,0.052719474,0.94914836,0.5656431,1.7196479,0.9628467,-0.023155225,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0,1,0,121,14
S109,-0.12682663,0.631466,0.65976274,0.14300655,0.6822395,-2.3279076,-1.1251895,-0.4087293,1.1081145,0.09074348,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5,0,16,45,5
S110,-0.85639125,-0.1428742,-1.4044491,-0.461248,0.12931722,-0.76558137,-0.071992055,-0.22538625,0.5908687,1.6315871,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0,0,1,173,2
S111,0.97591364,-1.9223404,-0.7808849,-1.1591067,-1.068768,-1.446544,-0.8786484,-0.11609034,-0.42565918,-0.5444288,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0,26,0,81,0
S112,0.13259272,0.71067214,0.5691122,-0.10210498,0.11377336,1.7229596,1.0075543,-0.17772056,-1.1389314,0.43223748,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,7,1,51,1
S113,0.45273322,0.5922232,0.2304548,0.21111172,0.046653192,-0.82736236,1.2547911,0.18075971,-0.36054012,-0.23386657,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3,0,0,165,0
S114,-0.39008558,-2.196866,-0.3843463,-0.1401806,2.418541,0.026771674,-1.2714975,0.06937274,-0.24221191,-0.13837503,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0,0,0,134,0
S115,-1.3470473,0.22629808,0.0975248,0.99575186,1.7873589,-0.4591293,-0.62341315,-1.5882456,0.3531242,0.68383265,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0,0,0,118,4
S116,-1.1155033,0.9814571,1.989115,-0.44639066,1.2651588,1.5852295,0.42002708,0.17308997,1.2107174,0.15520212,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0,0,3,115,1
S117,0.4893013,1.1715442,0.9082577,0.66970885,-0.7314146,0.08087782,1.293217,0.05145786,0.13692349,-0.89894515,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2,6,33,39,22
S118,-0.042558234,-0.035605036,0.7269169,-0.010156168,0.33163926,0.5595498,-0.63302475,1.0769051,0.09340048,-2.061685,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0,0,3,137,0
S119,-1.4258981,-0.7783555,-2.0213108,1.8547862,0.858578,2.291617,-0.8895638,-0.386274,0.12212674,-0.5561553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,28,103,1
S120,-1.8487649,0.8444126,0.74117464,0.23410809,0.34750277,0.1671878,1.1418347,-0.6672204,1.5397371,-0.54124105,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,90,80,0
