donor_id,x_cont1,C(cat0)[1],C(cat0)[2],C(cat0)[3],C(cat1)[T.2],C(cat1)[T.3],C(cat2)[T.2],C(cat2)[T.3],x_bin1,x_bin2,CT1,CT2,CT3,CT4,CT5
S067,-0.11904784,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,15,8,15,94,34
S068,1.428806,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,35,86,0,40,2
S069,0.16323058,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,123,19,3,25,29
S070,0.5481279,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,42,78,2,18,6
S071,1.9119221,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,10,149,0,0,0
S072,-0.6717832,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1,26,40,2
S073,0.5097069,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,61,62,0,8,9
S074,0.9380831,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,43,49,0,12,13
S075,-1.5096327,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,10,51,2
S076,0.2502807,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,31,22,1,13,9
S077,-1.0585686,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0,0,13,50,2
S078,0.023305742,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,31,56,12,88,9
S079,0.7399934,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,56,52,0,0,3
S080,-0.13090725,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5,0,4,72,10
S081,1.5869875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,83,70,0,0,0
S082,1.7167603,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,43,116,0,2,0
S083,0.5825556,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,19,35,11,1,2
S084,1.9439446,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,34,41,0,0,0
S085,1.3065428,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,33,119,0,1,0
S086,1.0265679,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,82,37,0,0,0
S087,-1.3919641,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0,0,41,8,35
S088,-0.51183665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,46,4,65,47,27
S089,-1.1094544,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,66,40,28
S090,-0.19528143,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,22,1,39,34,16
S091,0.6641765,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,46,28,6,86,15
S092,0.13263017,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,69,16,1,24,0
S093,-0.9495619,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1,2,30,14,12
S094,1.6579262,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,103,81,0,0,0
S095,-1.8232133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0,70,115,10
S096,-0.3455717,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,18,7,15,9,7
S097,-1.4734628,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,7,0,49,11,4
S098,-0.3524902,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,14,4,43,42,21
S099,0.33450705,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,43,33,6,11,21
S100,1.7795329,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,12,63,0,0,1
S101,-0.55334395,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,7,1,109,47,13
S102,-0.7303192,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,22,0,110,8,34
S103,-0.34984493,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,6,9,23,152,8
S104,0.5890883,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,23,58,12,11,1
S105,-0.4902829,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,71,9,19,30,39
S106,0.99660504,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,18,35,0,0,0
S107,-1.3514439,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,10,7,142,22,10
S108,1.5821325,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,7,114,0,8,7
S109,-0.922283,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7,0,34,23,7
S110,-0.26776496,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1,4,67,54,50
S111,3.1179976,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,18,89,0,0,0
S112,0.27890092,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,30,20,0,11,0
S113,0.46484998,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,9,12,3,136,8
S114,0.20632675,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,55,19,19,22,19
S115,-1.3853343,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0,0,48,36,38
S116,-1.5879099,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5,0,91,9,14
S117,0.32870257,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,59,26,0,7,10
S118,0.27359188,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2,17,26,89,6
S119,-1.1471924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,42,85,5
S120,1.2765543,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,16,141,2,11,0
S121,1.4057766,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,18,74,1,14,14
S122,0.38227043,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,15,105,14,3,15
S123,-1.49287,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0,0,23,62,2
S124,-1.443453,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0,0,22,145,27
S125,-1.7638882,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,9,0,95,50,34
S126,0.33737603,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,9,73,9,16,17
S127,-0.8756429,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,38,1,36,34,36
S128,-1.9828827,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,56,32,3
S129,0.3548929,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,16,23,0,23,3
S130,0.4230418,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,5,12,91,17
S131,-1.2718669,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1,0,21,22,11
S132,1.1860285,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,33,59,0,0,0
S133,0.6159182,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,38,109,0,0,19
S134,-0.7621072,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0,0,25,159,2
S135,-0.7915563,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3,1,45,26,17
S136,-0.29434365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,1,14,79,8
S137,1.6527822,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,8,99,0,4,3
S138,-0.18542212,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,16,4,16,16,16
S139,0.70741963,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,14,0,49,4
S140,1.8702419,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,20,44,0,0,0
S141,0.61307573,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,16,106,20,7,18
S142,-0.087990336,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,12,23,15,6,10
S143,-1.093804,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0,0,9,190,0
S144,1.2219284,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,44,17,1,0,0
S145,0.6058365,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,95,10,0,1,0
S146,-0.72478676,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,79,0,34,13,10
S147,0.21246353,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,6,6,5,93,53
S148,-0.41843387,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2,0,16,22,15
S149,0.73601216,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,24,30,12,97,7
S150,1.2322092,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,20,89,21,12,16
S151,0.015115274,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,60,27,14,23,54
S152,0.19510777,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,71,25,1,3,16
S153,-0.38496074,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0,7,15,148,2
S154,-0.3548851,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,33,1,1,13,3
S155,1.5163145,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,71,0,5,1
S156,1.2619144,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,135,44,0,0,0
S157,0.072192885,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,72,41,4,19,12
S158,0.18872833,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,46,38,5,21,14
S159,0.28226355,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0,1,2,117,9
S160,-0.16160186,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,68,24,5,5,18
S161,-1.2403686,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,26,0,81,50,27
S162,0.56094843,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,55,29,0,9,1
S163,-1.6696821,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0,0,66,10,2
S164,-0.1629555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,37,10,1,2,0
S165,1.1181297,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,19,109,1,0,0
S166,-0.16681595,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2,0,8,166,6
S167,0.6043264,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,73,9,0,7,2
S168,-0.9072806,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,45,2,55,1,7
S169,0.086772226,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,135,12,22,0,0
S170,-0.19644924,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4,1,4,104,31
S171,0.8138312,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,11,55,0,89,26
S172,0.08040831,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,139,17,23,0,15
S173,-0.5876,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0,13,16,165,5
S174,1.139931,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,14,39,37,37,0
S175,-0.3810975,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,14,9,37,15,34
S176,1.0830473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,50,75,0,56,2
S177,0.072592154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,43,44,7,46,9
S178,0.8391527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18,41,0,49,6
S179,-0.5389996,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3,4,60,12,38
S180,-1.4964238,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,35,73,0
S181,0.55639964,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,49,19,0,0,0
S182,-1.4045963,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,0,20,109,3
S183,0.18097834,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,88,18,12,3,21
S184,-1.5009785,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0,0,60,8,22
S185,-0.7864651,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0,0,12,115,21
S186,-0.6714106,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,12,3,22,59,16
S187,-1.1446699,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0,0,28,13,9
S188,0.4082013,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3,8,15,48,10
S189,-0.9844988,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0,0,18,61,20
S190,-0.796327,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0,131,27,37
S191,1.1198293,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,52,43,0,1,0
S192,-1.3458581,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,21,14,29,22,3
S193,-0.94733346,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0,1,11,32,7
S194,-1.0209639,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,42,7,74,19,45
S195,0.0462832,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,133,13,9,10,18
S196,1.2065225,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,57,93,0,3,1
S197,-1.0881797,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,0,44,122,18
S198,2.6030872,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,18,33,0,0,0
S199,-0.1465458,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,113,21,4,7,12
S200,0.09385855,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0,3,20,67,24
